"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018","continentExp"
"234","03/04/2020",3,4,2020,18,1,"Albania","AL","ALB",2866376,"Europe"
"235","02/04/2020",2,4,2020,16,0,"Albania","AL","ALB",2866376,"Europe"
"236","01/04/2020",1,4,2020,20,3,"Albania","AL","ALB",2866376,"Europe"
"237","31/03/2020",31,3,2020,11,2,"Albania","AL","ALB",2866376,"Europe"
"238","30/03/2020",30,3,2020,15,0,"Albania","AL","ALB",2866376,"Europe"
"239","29/03/2020",29,3,2020,11,1,"Albania","AL","ALB",2866376,"Europe"
"240","28/03/2020",28,3,2020,12,3,"Albania","AL","ALB",2866376,"Europe"
"241","27/03/2020",27,3,2020,28,1,"Albania","AL","ALB",2866376,"Europe"
"242","26/03/2020",26,3,2020,23,0,"Albania","AL","ALB",2866376,"Europe"
"243","25/03/2020",25,3,2020,23,1,"Albania","AL","ALB",2866376,"Europe"
"244","24/03/2020",24,3,2020,11,2,"Albania","AL","ALB",2866376,"Europe"
"245","23/03/2020",23,3,2020,13,0,"Albania","AL","ALB",2866376,"Europe"
"246","22/03/2020",22,3,2020,6,0,"Albania","AL","ALB",2866376,"Europe"
"247","21/03/2020",21,3,2020,0,0,"Albania","AL","ALB",2866376,"Europe"
"248","20/03/2020",20,3,2020,11,0,"Albania","AL","ALB",2866376,"Europe"
"249","19/03/2020",19,3,2020,4,1,"Albania","AL","ALB",2866376,"Europe"
"250","18/03/2020",18,3,2020,4,0,"Albania","AL","ALB",2866376,"Europe"
"251","17/03/2020",17,3,2020,9,0,"Albania","AL","ALB",2866376,"Europe"
"252","16/03/2020",16,3,2020,4,0,"Albania","AL","ALB",2866376,"Europe"
"253","15/03/2020",15,3,2020,5,0,"Albania","AL","ALB",2866376,"Europe"
"254","14/03/2020",14,3,2020,10,0,"Albania","AL","ALB",2866376,"Europe"
"255","13/03/2020",13,3,2020,12,0,"Albania","AL","ALB",2866376,"Europe"
"256","12/03/2020",12,3,2020,1,1,"Albania","AL","ALB",2866376,"Europe"
"257","11/03/2020",11,3,2020,4,0,"Albania","AL","ALB",2866376,"Europe"
"258","10/03/2020",10,3,2020,4,0,"Albania","AL","ALB",2866376,"Europe"
"259","09/03/2020",9,3,2020,2,0,"Albania","AL","ALB",2866376,"Europe"
"260","16/06/2020",16,6,2020,112,10,"Algeria","DZ","DZA",42228429,"Africa"
"261","15/06/2020",15,6,2020,109,7,"Algeria","DZ","DZA",42228429,"Africa"
"262","14/06/2020",14,6,2020,112,9,"Algeria","DZ","DZA",42228429,"Africa"
"263","13/06/2020",13,6,2020,109,10,"Algeria","DZ","DZA",42228429,"Africa"
